iter	Passed	Remaining
713	11271	20301
714	11286	20283
715	11301	20266
716	11318	20253
717	11334	20238
718	11350	20221
719	11365	20205
720	11380	20188
721	11395	20170
722	11413	20159
723	11429	20144
724	11444	20126
725	11460	20111
726	11476	20095
727	11492	20080
728	11508	20065
729	11524	20048
730	11540	20033
731	11555	20016
732	11569	19998
733	11588	19988
734	11608	19979
735	11625	19965
736	11642	19951
737	11657	19935
738	11675	19922
739	11693	19909
740	11711	19898
741	11728	19885
742	11744	19868
743	11759	19852
744	11777	19839
745	11794	19826
746	11809	19809
747	11825	19794
748	11841	19778
749	11858	19764
750	11875	19751
751	11892	19736
752	11908	19721
753	11924	19705
754	11940	19689
755	11957	19676
756	11971	19656
757	11987	19641
758	12003	19625
759	12018	19608
760	12033	19591
761	12049	19575
762	12064	19559
763	12080	19544
764	12096	19528
765	12110	19510
766	12129	19498
767	12148	19488
768	12167	19477
769	12183	19462
770	12200	19448
771	12217	19433
772	12235	19421
773	12252	19407
774	12268	19392
775	12285	19377
776	12299	19359
777	12315	19343
778	12332	19330
779	12348	19313
780	12363	19297
781	12378	19279
782	12395	19266
783	12410	19249
784	12426	19233
785	12441	19216
786	12456	19198
787	12471	19181
788	12487	19166
789	12505	19153
790	12520	19137
791	12534	19119
792	12550	19102
793	12565	19085
794	12579	19067
795	12598	19055
796	12614	19040
797	12631	19025
798	12646	19010
799	12661	18992
800	12676	18975
801	12695	18964
802	12712	18949
803	12727	18933
804	12743	18917
805	12760	18903
806	12774	18885
807	12789	18868
808	12804	18850
809	12821	18836
810	12838	18822
811	12853	18805
812	12869	18789
813	12886	18776
814	12902	18760
815	12919	18746
816	12933	18728
817	12949	18711
818	12964	18695
819	12979	18678
820	12996	18663
821	13012	18647
822	13028	18632
823	13044	18616
824	13060	18601
825	13076	18586
826	13091	18569
827	13107	18552
828	13122	18536
829	13140	18523
830	13156	18507
831	13170	18489
832	13186	18473
833	13201	18457
834	13218	18442
835	13233	18426
836	13250	18411
837	13266	18396
838	13281	18378
839	13296	18362
840	13312	18345
841	13328	18330
842	13344	18314
843	13360	18298
844	13378	18286
845	13396	18273
846	13413	18259
847	13428	18242
848	13446	18229
849	13461	18212
850	13476	18195
851	13492	18179
852	13509	18166
853	13524	18149
854	13542	18135
855	13557	18118
856	13573	18103
857	13590	18089
858	13605	18072
859	13620	18055
860	13636	18039
861	13653	18025
862	13668	18008
863	13683	17991
864	13700	17976
865	13718	17963
866	13737	17952
867	13756	17940
868	13774	17927
